Airline,Source,Destination,Duration (hrs),Stopovers,Aircraft Type,Class,Booking Source,Base Fare (BDT),Tax & Surcharge (BDT),Seasonality,Days Before Departure
Qatar Airways,ZYL,LHR,9.180829800503513,2 Stops,Boeing 777,Economy,Direct Booking,-20921.86715870557,4710.460806766239,Regular,26.682539607593075
Vistara,JSR,KUL,2.9798160484604326,Direct,Boeing 787,Economy,Direct Booking,45145.308698893656,25001.90462618746,Regular,8.985470822668514
SriLankan Airlines,ZYL,CGP,3.3196820935221605,Direct,Airbus A320,First Class,Online Website,50081.644425917,-4772.543674099953,Winter Holidays,100.77290071595928
Cathay Pacific,JSR,LHR,10.22567945471127,1 Stop,Airbus A350,First Class,Online Website,217243.5276282099,25835.222235304926,Regular,52.66166918565342
Saudia,ZYL,JED,5.354147305842412,2 Stops,Boeing 777,First Class,Online Website,110599.58336664732,20773.636227542273,Regular,36.97764821909513
Qatar Airways,JSR,DXB,5.904894089476635,Direct,Boeing 787,Business,Direct Booking,126785.71457626029,21183.05387728914,Hajj,-8.912260217663011
Lufthansa,CGP,DEL,4.134951661561778,Direct,Boeing 787,Economy,Direct Booking,55202.38435223063,4838.630605427009,Regular,54.340709821142866
Etihad Airways,ZYL,CXB,4.242733395287857,Direct,Airbus A320,First Class,Online Website,13332.287772623282,-3388.221157119857,Regular,86.8625317232925
US-Bangla Airlines,CGP,SPD,2.9322605553238383,Direct,Airbus A320,Economy,Travel Agency,-44375.10708629615,2474.9591664505,Winter Holidays,52.04533338208733
Gulf Air,ZYL,DAC,1.0700117626229662,Direct,Airbus A320,Economy,Travel Agency,33331.38119475237,10391.833011170525,Regular,32.238826366212194
Turkish Airlines,CXB,DAC,-1.3934040145180735,Direct,Airbus A320,Economy,Direct Booking,-2547.340047736338,-951.713820443041,Regular,107.08089183187852
Qatar Airways,CXB,RJH,3.1415274648679787,Direct,Airbus A320,First Class,Online Website,-5202.1371688373765,3171.731429688581,Regular,45.08844067756705
Saudia,CXB,DOH,1.3625015484032703,1 Stop,Boeing 787,Business,Travel Agency,41472.57118100454,24088.76402225557,Regular,88.93482998632803
Thai Airways,SPD,DEL,5.288906884712219,Direct,Boeing 787,First Class,Travel Agency,55502.49315367199,9271.022764045038,Regular,18.788474605007735
Cathay Pacific,JSR,RJH,-1.386755404002471,Direct,Airbus A320,First Class,Online Website,10399.595675023531,-2115.200348676344,Winter Holidays,31.93779071090684
Thai Airways,SPD,BKK,0.9193407618915259,Direct,Boeing 787,Business,Travel Agency,48996.82748738803,25633.035793683583,Regular,22.797546769244704
Kuwait Airways,SPD,KUL,5.169335224150588,Direct,Boeing 737,Business,Direct Booking,69809.70945578808,19636.310511347205,Regular,28.09202731664997
Cathay Pacific,CXB,YYZ,16.289834999464702,1 Stop,Boeing 777,First Class,Travel Agency,142934.67443248568,22807.952881453486,Regular,18.107241816053875
Thai Airways,BZL,LHR,5.383066029624078,1 Stop,Boeing 777,First Class,Direct Booking,162100.21390684688,39014.13407394403,Eid,43.19254876097918
SriLankan Airlines,ZYL,IST,10.404061307705636,1 Stop,Airbus A350,First Class,Online Website,135015.13149881852,22758.463250979512,Regular,46.307986386606935
Gulf Air,RJH,BKK,-1.73922663300021,Direct,Boeing 787,Business,Online Website,92164.80387608187,17751.29447027276,Regular,60.01403531582299
Lufthansa,ZYL,SIN,2.2945473260252793,Direct,Boeing 737,Business,Travel Agency,81970.20374964035,24234.63736313803,Regular,103.54255189154549
US-Bangla Airlines,SPD,JSR,-1.387266901738641,Direct,Airbus A320,First Class,Travel Agency,-11492.278894710804,6498.781129404329,Regular,8.250898425621248
Lufthansa,SPD,KUL,2.9995759745583284,1 Stop,Boeing 737,Economy,Travel Agency,-6042.643573135298,21628.356256826246,Regular,10.397612223749555
Singapore Airlines,JSR,JFK,12.54956185364575,1 Stop,Airbus A350,Economy,Travel Agency,6939.77243887353,20925.65007539214,Regular,47.078240516458564
AirAsia,BZL,SPD,0.052843765781610985,Direct,Airbus A320,Economy,Direct Booking,15441.160410422763,5571.71103981308,Regular,89.92395155382724
IndiGo,ZYL,SPD,0.9226357228886403,Direct,Airbus A320,First Class,Travel Agency,25588.28267028347,1611.7304982395972,Winter Holidays,28.19932382792952
Air Arabia,DAC,RJH,0.9454504727373727,Direct,Airbus A320,Economy,Travel Agency,-21047.862602821384,6286.988396529646,Regular,76.16411052950801
Air Astra,JSR,IST,8.167807990588532,1 Stop,Airbus A350,First Class,Online Website,86517.39732075843,18009.29472408345,Winter Holidays,36.487324400241306
Vistara,CXB,SIN,1.132227755691675,1 Stop,Boeing 737,Business,Online Website,84165.71470703682,25252.911282087345,Winter Holidays,64.38098964843718
Emirates,CXB,BKK,1.3624451184074362,Direct,Boeing 787,First Class,Direct Booking,161171.39400823278,45204.12597378171,Regular,76.24250254615693
Saudia,ZYL,YYZ,13.434928532122914,1 Stop,Boeing 777,Economy,Direct Booking,50635.10878160399,18958.485986582164,Regular,71.4195813062063
Saudia,RJH,ZYL,0.2297871564848245,Direct,Airbus A320,Business,Direct Booking,-21837.344528468202,-550.4877893926678,Regular,96.29699940420385
SriLankan Airlines,RJH,CGP,0.8411099332402259,Direct,Airbus A320,Business,Travel Agency,-125.06014020301154,6090.939378368747,Winter Holidays,75.68057588149708
FlyDubai,JSR,KUL,3.3265047527155645,Direct,Boeing 737,First Class,Online Website,148966.08266260364,28046.39641923426,Regular,85.42941055566835
Thai Airways,JSR,CXB,-1.4618855378172169,Direct,Airbus A320,First Class,Travel Agency,-37903.58270350956,-397.34829250871553,Winter Holidays,45.97109396120854
Air India,ZYL,SIN,1.3369120095665132,Direct,Boeing 737,Business,Direct Booking,75759.01207770416,4478.168779424172,Regular,18.740585052767813
IndiGo,SPD,SIN,3.619951502264258,1 Stop,Boeing 787,Economy,Online Website,128715.48137918401,13690.457932027773,Regular,21.04535684310316
Biman Bangladesh Airlines,CGP,BKK,2.10871045043845,Direct,Boeing 787,First Class,Direct Booking,84649.82168525255,8167.089008555522,Regular,78.73233393669568
Saudia,CXB,CGP,0.798275708754664,Direct,Airbus A320,Economy,Travel Agency,-5405.683908829021,-9922.81436535623,Regular,6.367769149818466
Emirates,CGP,YYZ,13.522908095917296,1 Stop,Boeing 777,Business,Online Website,69288.00340511207,12889.517044136788,Regular,77.90113180604864
Singapore Airlines,CXB,BKK,0.9895611133162991,Direct,Boeing 737,Business,Direct Booking,200786.853933869,37247.90900473392,Regular,38.06980270067809
Gulf Air,CXB,SIN,2.980544098282234,Direct,Boeing 737,First Class,Travel Agency,116026.17012763397,11947.898890985165,Regular,48.047208691416245
FlyDubai,DAC,JFK,14.17463017308233,1 Stop,Airbus A350,First Class,Direct Booking,18263.792873408867,23717.308870593602,Regular,101.85459333781878
Singapore Airlines,SPD,LHR,10.884314006711048,1 Stop,Airbus A350,Economy,Travel Agency,59510.31790964911,9369.641554571326,Regular,44.421973791078955
Lufthansa,ZYL,LHR,7.190093355031184,1 Stop,Airbus A350,Economy,Direct Booking,46335.82767908997,12670.00773988093,Regular,46.448298821250106
US-Bangla Airlines,ZYL,JED,4.557184571137684,1 Stop,Airbus A350,First Class,Direct Booking,123880.86565384746,16083.843138554344,Regular,40.99862689906295
IndiGo,JSR,BZL,-0.03797032349758489,Direct,Airbus A320,Economy,Direct Booking,-11091.02889966932,-1138.1167654585336,Regular,37.86791196518746
Saudia,RJH,ZYL,0.09868883615182811,Direct,Airbus A320,Economy,Travel Agency,54813.68622295724,-745.7611281878662,Regular,24.52671012109109
Air India,CGP,RJH,0.7582484588585914,Direct,Airbus A320,Economy,Direct Booking,14214.705776109426,-8391.08682742568,Regular,14.219807757816211
Etihad Airways,CGP,SIN,5.294980036372719,1 Stop,Boeing 787,Business,Direct Booking,74408.8843683265,7709.280769097459,Regular,35.040007117081025
Cathay Pacific,ZYL,KUL,5.518883196814045,Direct,Boeing 737,Business,Travel Agency,80354.87933821161,21096.274738904063,Regular,98.66137362696776
AirAsia,CGP,DOH,2.5593928390868843,Direct,Boeing 737,First Class,Direct Booking,111839.11040956661,17793.618270555904,Regular,25.77431745965733
Air Arabia,DAC,KUL,4.241498283511832,Direct,Boeing 737,First Class,Direct Booking,183556.01585917652,31651.538995821393,Regular,56.03158338799956
Turkish Airlines,ZYL,DOH,6.168759834228951,Direct,Boeing 787,Business,Travel Agency,118035.12788061475,17453.482078369554,Regular,83.07321102928316
FlyDubai,RJH,CCU,2.2150800640920516,Direct,Airbus A320,Economy,Travel Agency,40046.702930568994,-3211.4547364325235,Regular,87.29711211904367
Singapore Airlines,CXB,YYZ,9.822823585712399,1 Stop,Boeing 777,Economy,Travel Agency,-36573.180432475434,7669.647241622563,Regular,39.907242158482745
Biman Bangladesh Airlines,BZL,JSR,1.0915502177034337,Direct,Airbus A320,First Class,Online Website,3161.234801858911,11953.882798198263,Regular,11.197818443940777
Qatar Airways,JSR,IST,4.106453487061779,1 Stop,Airbus A350,First Class,Online Website,284370.81076222,28346.04408186161,Regular,49.77851528881245
US-Bangla Airlines,CXB,JSR,-4.4303088967284205,Direct,Airbus A320,Economy,Direct Booking,-7422.479271669317,-7492.9866039649105,Regular,25.868766064965428
Thai Airways,CGP,JED,4.602451009530215,1 Stop,Airbus A350,Business,Direct Booking,73830.60570290586,21417.298054416933,Regular,-4.3022381700732115
AirAsia,CGP,BZL,-1.3265197849987205,Direct,Airbus A320,Business,Online Website,-10644.654219241835,-2467.4203954861277,Regular,67.43612877192807
Biman Bangladesh Airlines,CXB,YYZ,13.410826649925541,2 Stops,Boeing 777,First Class,Online Website,278550.8654276129,62414.365714546824,Regular,-3.311158881866877
IndiGo,JSR,RJH,2.7338602351526027,Direct,Airbus A320,Business,Direct Booking,29259.605754669185,-10829.538535745754,Regular,47.31542542860083
Thai Airways,RJH,SIN,0.9857589763278884,Direct,Boeing 787,Economy,Travel Agency,42348.23567063658,1150.8724384646612,Regular,76.86876505552523
US-Bangla Airlines,DAC,YYZ,15.066270217214276,2 Stops,Airbus A350,Business,Travel Agency,92541.10979224805,18473.16593920701,Regular,56.97274932316039
Malaysian Airlines,ZYL,CGP,1.814422782097488,Direct,Airbus A320,First Class,Online Website,14002.379739795542,9458.140379056214,Regular,44.03813265204508
Air Astra,BZL,BKK,1.575528403317782,1 Stop,Boeing 787,Business,Travel Agency,118574.65910024564,16404.44555373539,Regular,17.173638998389546
US-Bangla Airlines,DAC,SIN,1.7388351317284971,Direct,Boeing 737,Business,Online Website,156925.47089769976,24536.93358091018,Regular,12.353107687106286
US-Bangla Airlines,CXB,SPD,2.5691046960975537,Direct,Airbus A320,Economy,Direct Booking,-18827.6650981872,4413.278543612083,Regular,77.60467249470317
US-Bangla Airlines,DAC,DXB,3.082044918475027,1 Stop,Boeing 787,Economy,Travel Agency,1264.1117052331756,12448.72300478177,Regular,49.384869318270745
Biman Bangladesh Airlines,SPD,JFK,12.544431449306181,1 Stop,Airbus A350,Business,Direct Booking,-14272.723830293136,17901.43934678586,Regular,9.472657593472167
NovoAir,DAC,CCU,1.0217566888056464,Direct,Airbus A320,First Class,Online Website,147592.4110345442,18290.877825204065,Regular,28.911316934420253
Vistara,RJH,DXB,-0.3820034904833798,1 Stop,Boeing 787,First Class,Online Website,314052.4520393977,51691.07644908054,Winter Holidays,36.226572516187424
Lufthansa,CXB,SPD,-1.9342415954852497,Direct,Airbus A320,First Class,Online Website,62273.37672588059,9066.224377356224,Regular,82.07603437379643
NovoAir,ZYL,DEL,4.6969906744888235,1 Stop,Boeing 737,Business,Online Website,49865.74333423169,9429.687761992951,Regular,85.86146614574794
Turkish Airlines,RJH,YYZ,13.890081253900666,1 Stop,Boeing 777,First Class,Online Website,379215.54692827765,55912.01251264488,Winter Holidays,17.05388774222849
Gulf Air,BZL,SPD,4.550836532118229,Direct,Airbus A320,Economy,Online Website,7122.320358878789,4389.6697309139645,Regular,19.129503614404136
Emirates,ZYL,DEL,2.2414976670001163,Direct,Boeing 787,Business,Travel Agency,23120.764353129158,4535.40511762102,Regular,66.17408028560918
Malaysian Airlines,CGP,LHR,10.570670981730974,1 Stop,Airbus A350,First Class,Direct Booking,232858.863692434,51590.17736466025,Winter Holidays,50.793492314856415
Air India,CGP,RJH,2.918156510578946,Direct,Airbus A320,Economy,Online Website,-38780.94864632977,6695.010395423962,Regular,0.6435780329207441
Etihad Airways,BZL,DEL,2.3664203524946767,Direct,Boeing 737,Business,Online Website,-3043.057846582411,10265.125508927114,Regular,71.4578989242217
SriLankan Airlines,ZYL,CGP,4.050658492796451,Direct,Airbus A320,First Class,Direct Booking,7024.655599782014,4670.715346121682,Regular,40.61099183228441
IndiGo,SPD,ZYL,1.2326071436955695,Direct,Airbus A320,Business,Direct Booking,-5940.770688209623,-10532.295756087253,Regular,88.2194786437428
Lufthansa,ZYL,DEL,5.996136522315574,1 Stop,Boeing 787,Economy,Direct Booking,-27354.94398350076,-1916.8966370636167,Regular,89.92475567699708
Etihad Airways,CGP,ZYL,1.3362997155890952,Direct,Airbus A320,Business,Travel Agency,25382.05094072815,8448.200216544099,Regular,80.6221486132275
Biman Bangladesh Airlines,SPD,DOH,5.9467713388433525,1 Stop,Boeing 787,Economy,Travel Agency,71137.66206711339,-7774.066158574513,Regular,28.797313985018953
Kuwait Airways,BZL,SIN,2.7225977353623945,1 Stop,Boeing 737,Business,Travel Agency,81659.28294684057,12958.520847380532,Regular,103.00156176159086
NovoAir,CGP,SIN,6.98438633943246,Direct,Boeing 737,First Class,Travel Agency,137223.36475849274,42301.309406738634,Regular,84.46136159542571
Malaysian Airlines,CGP,ZYL,0.7144510770424035,Direct,Airbus A320,Economy,Travel Agency,8224.619404053623,3161.3998130996474,Winter Holidays,93.96105140669677
Air India,DAC,DEL,3.598545769162866,Direct,Boeing 737,First Class,Online Website,242209.79271126143,32361.931758270308,Winter Holidays,68.90550716156518
Emirates,ZYL,CXB,0.5417851508421526,Direct,Airbus A320,First Class,Online Website,-19580.132794908433,4807.425504102536,Regular,20.984962952732978
Kuwait Airways,BZL,DOH,4.437071096464074,Direct,Boeing 737,First Class,Travel Agency,250822.16664998943,38656.694772635776,Regular,28.242764708507632
AirAsia,RJH,CGP,-0.05470149005757596,Direct,Airbus A320,Business,Travel Agency,26316.48125649932,-1558.0453834545453,Winter Holidays,88.07946997547118
Gulf Air,BZL,YYZ,16.867752181430333,1 Stop,Boeing 777,First Class,Direct Booking,298893.3755547959,40344.65388325106,Regular,36.87620914312833
Malaysian Airlines,JSR,SIN,1.37698576316799,1 Stop,Boeing 737,Economy,Online Website,56649.6320877045,15853.273857715487,Regular,67.46751066137665
Singapore Airlines,DAC,CGP,1.544963235494676,Direct,Airbus A320,Economy,Travel Agency,74687.71699996454,2675.8715188511046,Winter Holidays,42.281676520824924
Singapore Airlines,CGP,KUL,1.9339471874578276,1 Stop,Boeing 787,Economy,Direct Booking,10312.489164819213,6424.9594933702465,Regular,50.974684551242206
Thai Airways,BZL,JFK,14.910818268032873,1 Stop,Airbus A350,Business,Travel Agency,119674.44210468294,21686.02375648581,Regular,51.90076292177622
Air Astra,JSR,BKK,2.9682135633959987,1 Stop,Boeing 787,First Class,Direct Booking,196118.05159752833,36212.6889388465,Regular,10.178088036424697
IndiGo,SPD,CCU,-1.6795804418318754,Direct,Airbus A320,Economy,Direct Booking,6368.175013004009,3092.4194823331513,Regular,38.15952137117807
Emirates,JSR,YYZ,11.077724305093145,2 Stops,Boeing 777,Economy,Online Website,113695.9955523198,17286.981136189283,Winter Holidays,10.168238025593656
Qatar Airways,CGP,JED,4.691663560773807,1 Stop,Boeing 777,First Class,Travel Agency,246643.14492976572,41335.245589467566,Regular,69.20824611163823
FlyDubai,ZYL,KUL,5.53348157926453,1 Stop,Boeing 737,First Class,Online Website,209284.51231613779,33749.30200270677,Hajj,64.13592127216546
SriLankan Airlines,SPD,JSR,-1.6009162285405625,Direct,Airbus A320,Economy,Direct Booking,-15945.525762243265,1677.4771331811473,Regular,53.964635105590155
Qatar Airways,JSR,LHR,9.562750295377128,1 Stop,Boeing 777,Business,Direct Booking,34967.802874140325,902.7367756870717,Regular,32.19409156913077
Air Astra,BZL,SPD,1.095820405824489,Direct,Airbus A320,First Class,Travel Agency,-10230.578746760126,4400.237170623777,Regular,57.78073613232772
Lufthansa,CXB,JSR,2.7261176785456263,Direct,Airbus A320,Business,Online Website,-9505.122718213355,-1695.0919179613763,Regular,13.041608405691443
Air Arabia,DAC,KUL,3.2375024401128,1 Stop,Boeing 787,Economy,Direct Booking,15160.603050864858,18039.737122685383,Regular,25.384455002771887
Thai Airways,ZYL,KUL,2.282007239717322,Direct,Boeing 737,Economy,Travel Agency,48654.34038589877,8044.818673222355,Regular,15.166071515710161
Lufthansa,RJH,BKK,3.9991251066826905,Direct,Boeing 737,Economy,Travel Agency,12580.25640680849,-8026.108378373994,Regular,39.51093411122811
US-Bangla Airlines,ZYL,JFK,10.352149330672887,1 Stop,Boeing 777,First Class,Travel Agency,163988.50318575758,42393.777580409565,Regular,14.641189709903195
British Airways,DAC,DOH,3.142631066014734,Direct,Boeing 787,Business,Direct Booking,120658.87006282124,1948.7206148147907,Winter Holidays,68.90306108735854
Air India,SPD,JED,7.9814263786548985,1 Stop,Airbus A350,First Class,Direct Booking,182514.14466251642,32053.396467961586,Regular,21.82845419338111
Qatar Airways,CXB,JSR,-2.9548527006419203,Direct,Airbus A320,Economy,Direct Booking,-50400.31305681889,-533.912889008739,Regular,77.46120216861219
Thai Airways,SPD,DAC,0.6768823460750186,Direct,Airbus A320,First Class,Travel Agency,43014.10422475339,3325.8630181429953,Winter Holidays,75.44277347450183
Etihad Airways,BZL,KUL,5.108247871809819,1 Stop,Boeing 737,Business,Direct Booking,43760.12079586419,15183.546913511416,Regular,79.41662002106774
SriLankan Airlines,JSR,YYZ,13.75350689734557,2 Stops,Boeing 777,Economy,Direct Booking,53537.914133470826,4621.223204088592,Winter Holidays,8.383003900594096
Emirates,BZL,DEL,6.513452752429066,1 Stop,Boeing 787,First Class,Online Website,82305.24500164672,13263.743228368072,Regular,45.792827305872194
SriLankan Airlines,SPD,JFK,15.962546298607394,1 Stop,Airbus A350,Business,Travel Agency,30479.26029156905,9521.042511813292,Regular,15.658345429437585
Gulf Air,SPD,BZL,-0.4448780166332871,Direct,Airbus A320,Economy,Travel Agency,-32523.047666671653,-4215.371852925379,Regular,91.43720228838058
US-Bangla Airlines,ZYL,DXB,2.6234142520052117,Direct,Boeing 737,Economy,Travel Agency,8793.178340339862,5727.331628843143,Regular,-4.895427302033045
FlyDubai,RJH,DXB,3.8309552364561963,Direct,Boeing 737,First Class,Travel Agency,68963.41756947653,21413.45436932871,Regular,77.73205023650586
Malaysian Airlines,ZYL,DOH,4.02171759035602,Direct,Boeing 737,Economy,Travel Agency,69913.57994325593,6516.37253549889,Regular,30.35183881974885
AirAsia,RJH,CXB,0.17686134520859098,Direct,Airbus A320,Economy,Direct Booking,29131.58964129603,-7902.749982530715,Regular,55.47896295700078
Gulf Air,BZL,DEL,3.359851383646809,Direct,Boeing 737,First Class,Direct Booking,256797.7233296963,46104.07017933494,Regular,-19.019558306122974
Turkish Airlines,BZL,KUL,0.7425144924754927,Direct,Boeing 787,Economy,Online Website,1328.152217851024,20462.495988214134,Regular,67.40466084998877
Turkish Airlines,ZYL,JED,2.0328914929314674,1 Stop,Airbus A350,Business,Online Website,-5562.85215808449,16391.54365488673,Regular,79.53883229075528
British Airways,BZL,CXB,3.730012800597597,Direct,Airbus A320,Business,Online Website,-11298.377403828988,874.2729153547821,Regular,30.822784904340686
Thai Airways,SPD,CCU,5.7054867215999385,Direct,Airbus A320,First Class,Online Website,59621.16942939954,-208.7993895200725,Regular,71.84140223118524
Malaysian Airlines,CGP,SIN,-0.8202544065582891,Direct,Boeing 787,First Class,Travel Agency,256912.50699074,43738.384416618755,Regular,93.75339776139542
Turkish Airlines,BZL,SPD,-1.2427160245521516,Direct,Airbus A320,First Class,Online Website,44237.20919392289,11874.8171911547,Regular,84.10171338454465
AirAsia,SPD,KUL,4.582206462127038,1 Stop,Boeing 737,Business,Travel Agency,60002.29999683682,9829.26010911796,Regular,42.05038069445915
Etihad Airways,CGP,SPD,0.7758286848117921,Direct,Airbus A320,First Class,Direct Booking,45777.76451936056,-9424.33061796849,Regular,16.158729399356776
Air Astra,CXB,JED,6.76778985004762,2 Stops,Boeing 777,First Class,Travel Agency,71066.2229418775,14172.475039468021,Regular,12.982075012326204
Thai Airways,CXB,BZL,-2.5510965252223783,Direct,Airbus A320,First Class,Travel Agency,-17353.555044703517,7642.551793297744,Regular,69.31025902606154
Etihad Airways,CXB,DXB,3.7219855925785197,Direct,Boeing 737,First Class,Travel Agency,32110.273614499485,13460.640110574837,Regular,65.45794415574917
Vistara,CGP,DXB,3.362788359753539,1 Stop,Boeing 737,Business,Online Website,-5472.803420452634,-2853.078060615633,Regular,69.0419101073574
Etihad Airways,RJH,DOH,5.222391824383821,Direct,Boeing 787,Economy,Travel Agency,43567.31070013417,-2441.6153547875747,Regular,43.362919697713295
Qatar Airways,DAC,IST,6.563686602283615,1 Stop,Boeing 777,Business,Direct Booking,79256.09058759909,10163.537229556705,Regular,90.04706277686277
Saudia,BZL,CGP,1.9597013530040706,Direct,Airbus A320,Business,Travel Agency,33787.09055489904,-589.5118683184963,Regular,7.549728071227625
Saudia,DAC,LHR,7.386154053130079,1 Stop,Airbus A350,Business,Direct Booking,171671.70276775758,22611.99087736567,Regular,0.684285361613628
Air Arabia,CXB,CGP,2.174004100556569,Direct,Airbus A320,First Class,Online Website,10986.06964839653,2493.74953597819,Regular,39.73912813217549
IndiGo,SPD,JED,5.770169110686207,1 Stop,Airbus A350,Business,Direct Booking,51182.93744994364,23619.78639396828,Regular,69.68659116864944
Biman Bangladesh Airlines,CXB,DXB,0.4498355915432368,Direct,Boeing 787,Business,Travel Agency,-52801.85631275457,7568.651565273422,Regular,77.81086761395383
Vistara,ZYL,JFK,9.791365536273382,1 Stop,Boeing 777,First Class,Online Website,131330.48759552263,31121.63438144116,Regular,75.58456344157659
Thai Airways,CGP,DAC,0.44427443631771285,Direct,Airbus A320,Economy,Online Website,952.4912676433428,-2724.3340971851712,Regular,-1.128372140516178
Malaysian Airlines,RJH,ZYL,2.0474342956513234,Direct,Airbus A320,Business,Travel Agency,29618.587998742307,6121.073700791054,Regular,66.45256335564608
Singapore Airlines,CGP,SPD,5.746050696419317,Direct,Airbus A320,First Class,Direct Booking,30950.370966046372,6157.227676512733,Winter Holidays,59.6658067527642
US-Bangla Airlines,RJH,ZYL,-0.4294590229143911,Direct,Airbus A320,First Class,Travel Agency,2104.8860488582577,-10087.499052112553,Eid,8.807489717136717
Gulf Air,JSR,SIN,4.216731013885267,1 Stop,Boeing 737,First Class,Direct Booking,184107.00610539698,34411.180856465806,Regular,43.79277103234756
Thai Airways,RJH,SPD,2.394818088615863,Direct,Airbus A320,Business,Direct Booking,54253.4980638271,10684.64112755995,Regular,65.22622709924397
Kuwait Airways,RJH,SPD,-1.7564065217657494,Direct,Airbus A320,First Class,Travel Agency,56292.71006661494,-2438.989292819476,Regular,51.00997454209396
Saudia,CGP,JED,12.089646108439975,1 Stop,Boeing 777,Business,Travel Agency,40654.0815572066,5479.45680191702,Regular,8.445124252376047
Qatar Airways,ZYL,DXB,8.164450711568461,Direct,Boeing 737,First Class,Direct Booking,248589.54371982085,50020.66092976567,Winter Holidays,92.46303864656322
IndiGo,CXB,CCU,2.9825776411381684,Direct,Airbus A320,First Class,Online Website,168024.25270861998,29791.40447217519,Regular,82.44827226875614
FlyDubai,SPD,JFK,14.510844891944636,2 Stops,Airbus A350,Business,Travel Agency,109734.80448043416,22399.820541060602,Regular,40.15203134314424
SriLankan Airlines,SPD,BKK,5.295557418888625,Direct,Boeing 737,First Class,Online Website,277517.4558163709,38400.84077877513,Winter Holidays,55.66702029785642
Air Astra,JSR,KUL,2.1874540706918033,1 Stop,Boeing 787,First Class,Direct Booking,-48496.803277819854,14725.320645476702,Regular,92.05217465355872
Air Astra,JSR,RJH,-1.9719877403632957,Direct,Airbus A320,First Class,Direct Booking,66901.46597098964,2064.9912425560433,Regular,7.333111233766591
Etihad Airways,ZYL,JED,6.010808685055943,1 Stop,Airbus A350,Business,Online Website,62368.35275690231,15813.263804725604,Winter Holidays,41.103203771006875
Lufthansa,CGP,ZYL,2.9718309249867243,Direct,Airbus A320,Business,Travel Agency,37069.39940262305,-1561.6972722310686,Regular,6.06119977666539
Emirates,DAC,DOH,1.8866892998780855,Direct,Boeing 737,Economy,Online Website,14124.786098514742,14698.700897952602,Regular,64.24127096846479
Saudia,CGP,DEL,1.2317405957267362,Direct,Boeing 787,Business,Direct Booking,87121.01129257253,21247.80322378537,Regular,7.969918640690393
Saudia,SPD,IST,-1.259427600475247,1 Stop,Airbus A350,Economy,Direct Booking,-14906.055129558903,-4625.289460643011,Regular,52.901106536109914
Air India,BZL,CXB,1.9416271849317308,Direct,Airbus A320,Business,Travel Agency,9564.289720774832,2886.422062454264,Regular,30.76700472769231
British Airways,RJH,SPD,-1.2376585944474805,Direct,Airbus A320,Economy,Travel Agency,-14123.590159870186,-149.93471598005323,Regular,78.90475905081487
Turkish Airlines,BZL,JFK,17.235062554750996,1 Stop,Airbus A350,Economy,Direct Booking,-1992.7751292727917,12034.435604219821,Regular,69.64975495459707
Cathay Pacific,BZL,JSR,-0.8479629747846558,Direct,Airbus A320,First Class,Online Website,70164.82524922112,-3928.4638970041888,Regular,22.29069763585644
Vistara,BZL,ZYL,0.2983852273569193,Direct,Airbus A320,Business,Travel Agency,51237.14943773898,-482.2924265331035,Regular,69.12912202650543
AirAsia,ZYL,DXB,6.341015604284225,Direct,Boeing 787,Economy,Online Website,3394.203402088864,1589.8441376421388,Regular,27.577651820141156
AirAsia,RJH,BZL,1.779811423699627,Direct,Airbus A320,Economy,Direct Booking,22520.33515595609,9959.927154774889,Regular,32.882411123717574
Emirates,BZL,YYZ,15.886917755754432,2 Stops,Airbus A350,Economy,Travel Agency,-38133.08158418112,6661.921820222939,Regular,93.03954962473497
Malaysian Airlines,CGP,JSR,4.929934660650666,Direct,Airbus A320,First Class,Direct Booking,13576.770361865552,9296.576430806015,Winter Holidays,66.74850578614506
US-Bangla Airlines,CGP,CCU,2.0183408593796286,Direct,Airbus A320,Economy,Online Website,39630.96736407446,10876.265634850137,Regular,-8.304249173331854
Singapore Airlines,SPD,DAC,2.458212746527668,Direct,Airbus A320,Business,Online Website,-17448.233751268614,3377.587879311218,Regular,91.69369549199722
Cathay Pacific,JSR,JED,8.110191932139374,1 Stop,Airbus A350,First Class,Direct Booking,225668.03031427556,45208.99269655543,Regular,37.802066570221655
Kuwait Airways,SPD,DAC,4.039525836389759,Direct,Airbus A320,Economy,Travel Agency,-44551.13595612882,-4814.123104760559,Winter Holidays,27.198514012234888
AirAsia,BZL,SIN,6.795573979557712,Direct,Boeing 787,Business,Online Website,133141.56514443457,9930.773157136906,Regular,26.758857738254044
Saudia,SPD,DXB,3.765896574879733,1 Stop,Boeing 737,First Class,Online Website,210642.836569178,42476.550234217444,Regular,35.66846600511027
Air Astra,CXB,IST,6.982378162833359,1 Stop,Boeing 777,Economy,Direct Booking,7244.44621507843,8125.835000287108,Regular,38.315103429257846
Singapore Airlines,RJH,LHR,9.93207186041927,1 Stop,Boeing 777,Economy,Online Website,93284.41008509108,3284.2735696392883,Regular,-16.806417341100385
SriLankan Airlines,SPD,JED,5.767095242427934,1 Stop,Airbus A350,Business,Direct Booking,25196.681358425347,15530.057850275238,Regular,66.727437811846
Air India,SPD,JSR,3.4775534646679382,Direct,Airbus A320,Business,Online Website,-7798.857401921636,-12776.536151726312,Regular,93.91351111784678
